Altium Designer Pick and Place Locations
H:\Projects\PCB Design\RUMBA32\Source\Outputs\RUMBA32_v1_1B_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       07/07/20
Time:       09:36
Revision:   720da48d782fa2e850b84efe25b931f9ee367244
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R12","Resistor","TopLayer","RESC1005X40N","27.8892","58.5224","270","RES SMD 100K OHM 1% 1/16W 0402"
"LD10","","TopLayer","LED_1608-0603","35.4984","8.6553","270","LED GREEN CLEAR CHIP SMD 0603"
"R59","Resistor","TopLayer","RESC1005X40N","34.1415","8.5928","270","RES SMD 4.7K OHM 1% 1/16W 0402"
"LD8","","TopLayer","LED_1608-0603","35.4984","13.7353","270","LED GREEN CLEAR CHIP SMD 0603"
"R20","Resistor","TopLayer","RESC1005X40N","34.1415","13.6728","270","RES SMD 1K OHM 1% 1/16W 0402"
"LD9","","TopLayer","LED_1608-0603","35.4984","18.8153","270","LED GREEN CLEAR CHIP SMD 0603"
"R58","Resistor","TopLayer","RESC1005X40N","34.1415","18.7528","270","RES SMD 1K OHM 1% 1/16W 0402"
"R55","Resistor","TopLayer","RESC1005X40N","79.5667","26.3808","90","RES SMD 1K OHM 1% 1/16W 0402"
"R47","Resistor","TopLayer","RESC1005X40N","78.2866","26.3807","270","RES SMD 100K OHM 1% 1/16W 0402"
"R46","Resistor","TopLayer","RESC1005X40N","77.0166","26.3808","270","RES SMD 22 OHM 1% 1/16W 0402"
"LD7","","TopLayer","LED_1608-0603","81.0457","26.8178","270","LED GREEN CLEAR CHIP SMD 0603"
"R53","Resistor","TopLayer","RESC1005X40N","70.9821","26.3808","90","RES SMD 1K OHM 1% 1/16W 0402"
"R52","Resistor","TopLayer","RESC1005X40N","69.7021","26.3807","270","RES SMD 100K OHM 1% 1/16W 0402"
"R51","Resistor","TopLayer","RESC1005X40N","68.4321","26.3808","270","RES SMD 22 OHM 1% 1/16W 0402"
"LD6","","TopLayer","LED_1608-0603","72.4612","26.8178","270","LED GREEN CLEAR CHIP SMD 0603"
"R50","Resistor","TopLayer","RESC1005X40N","62.4992","26.3808","90","RES SMD 1K OHM 1% 1/16W 0402"
