Altium Designer Pick and Place Locations
G:\Git\RUMBA32\Source\Project Outputs for RUMBA32\Pick Place for RUMBA32.csv

========================================================================================================================
File Design Information:

Date:       23/08/18
Time:       20:45
Revision:   602c64341fa0739bdc1d208189d68529e63d3a7d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L1","33uH 2.5A","TopLayer","SRN6045TA_SMD_Inductor","105.6860","23.0650","90","Inductor (SMD)"
"C36","4.7uF 10% 50V X7R 1210","TopLayer","CAP_3225-1210","94.5645","13.7892","270","Capacitor (SMD Ceramic)"
"R44","100K 5% .1W 0603","TopLayer","RES_1608-0603","123.7916","57.5000","270","Resistor (SMD)"
"R45","10K 5% .1W 0603","TopLayer","RES_1608-0603","123.7916","61.0000","90","Resistor (SMD)"
"C30","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","128.5652","58.8099","360","Capacitor (SMD Polarised Electrolytic)"
"E2_MS1","Header 3","TopLayer","HDR1X3-HEADER","130.9508","46.9362","270","Header, 3-Pin"
"E2_MS2","Header 3","TopLayer","HDR1X3-HEADER","128.4108","46.9362","270","Header, 3-Pin"
"E2_MS3","Header 3","TopLayer","HDR1X3-HEADER","125.8708","46.9362","270","Header, 3-Pin"
"E2_SLP","Header 3","TopLayer","HDR1X3-HEADER","123.3308","46.9362","270","Header, 3-Pin"
"R30","100K 5% .1W 0603","TopLayer","RES_1608-0603","108.5333","57.5000","270","Resistor (SMD)"
"R29","10K 5% .1W 0603","TopLayer","RES_1608-0603","108.5333","61.0000","90","Resistor (SMD)"
"C25","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","113.3069","58.8099","360","Capacitor (SMD Polarised Electrolytic)"
"E1_MS1","Header 3","TopLayer","HDR1X3-HEADER","115.6925","46.9362","270","Header, 3-Pin"
"E1_MS2","Header 3","TopLayer","HDR1X3-HEADER","113.1525","46.9362","270","Header, 3-Pin"
"E1_MS3","Header 3","TopLayer","HDR1X3-HEADER","110.6125","46.9362","270","Header, 3-Pin"
"E1_SLP","Header 3","TopLayer","HDR1X3-HEADER","108.0725","46.9362","270","Header, 3-Pin"
"R28","100K 5% .1W 0603","TopLayer","RES_1608-0603","93.2750","57.5000","270","Resistor (SMD)"
"R27","10K 5% .1W 0603","TopLayer","RES_1608-0603","93.2750","61.0000","90","Resistor (SMD)"
"C24","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","98.0485","58.8099","360","Capacitor (SMD Polarised Electrolytic)"
"E0_MS1","Header 3","TopLayer","HDR1X3-HEADER","100.4341","46.9362","270","Header, 3-Pin"
"E0_MS2","Header 3","TopLayer","HDR1X3-HEADER","97.8941","46.9362","270","Header, 3-Pin"
"E0_MS3","Header 3","TopLayer","HDR1X3-HEADER","95.3541","46.9362","270","Header, 3-Pin"
"E0_SLP","Header 3","TopLayer","HDR1X3-HEADER","92.8141","46.9362","270","Header, 3-Pin"
"R26","100K 5% .1W 0603","TopLayer","RES_1608-0603","78.0166","57.5000","270","Resistor (SMD)"
"R25","10K 5% .1W 0603","TopLayer","RES_1608-0603","78.0166","61.0000","90","Resistor (SMD)"
"C23","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","82.7902","58.8099","360","Capacitor (SMD Polarised Electrolytic)"
"Z_MS1","Header 3","TopLayer","HDR1X3-HEADER","85.1758","46.9362","270","Header, 3-Pin"
"Z_MS2","Header 3","TopLayer","HDR1X3-HEADER","82.6358","46.9362","270","Header, 3-Pin"
"Z_MS3","Header 3","TopLayer","HDR1X3-HEADER","80.0958","46.9362","270","Header, 3-Pin"
"Z_SLP","Header 3","TopLayer","HDR1X3-HEADER","77.5558","46.9362","270","Header, 3-Pin"
"R24","100K 5% .1W 0603","TopLayer","RES_1608-0603","62.7583","57.5000","270","Resistor (SMD)"
"R23","10K 5% .1W 0603","TopLayer","RES_1608-0603","62.7583","61.0000","90","Resistor (SMD)"
"C22","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","67.5319","58.8099","360","Capacitor (SMD Polarised Electrolytic)"
"Y_MS1","Header 3","TopLayer","HDR1X3-HEADER","69.9175","46.9362","270","Header, 3-Pin"
"Y_MS2","Header 3","TopLayer","HDR1X3-HEADER","67.3775","46.9362","270","Header, 3-Pin"
"Y_MS3","Header 3","TopLayer","HDR1X3-HEADER","64.8375","46.9362","270","Header, 3-Pin"
"Y_SLP","Header 3","TopLayer","HDR1X3-HEADER","62.2975","46.9362","270","Header, 3-Pin"
"C31","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","113.7577","23.0454","90","Capacitor (SMD Polarised Electrolytic)"
"R15","1K 5% .1W 0603","TopLayer","RES_1608-0603","34.0144","26.8808","180","Resistor (SMD)"
"LD11","Green 0603","TopLayer","LED_1608-0603","34.0144","25.1028","180","LED (SMD)"
"R58","1K 5% .1W 0603","TopLayer","RES_1608-0603","34.0144","19.2608","180","Resistor (SMD)"
"LD9","Green 0603","TopLayer","LED_1608-0603","34.0144","17.4828","180","LED (SMD)"
"3V3","Header 2","TopLayer","HDR1X2","39.3484","26.3728","90","Header, 2-Pin"
"XT1","12MHz 33pF 0.5%","TopLayer","CERALOCK_CSTCE_G","38.4992","46.6462","270","Ceramic Resonator (SMD)"
"X_SLP","Header 3","TopLayer","HDR1X3-HEADER","47.0392","46.9362","270","Header, 3-Pin"
"X_MS3","Header 3","TopLayer","HDR1X3-HEADER","49.5792","46.9362","270","Header, 3-Pin"
"X_MS2","Header 3","TopLayer","HDR1X3-HEADER","52.1192","46.9362","270","Header, 3-Pin"
"X_MS1","Header 3","TopLayer","HDR1X3-HEADER","54.6592","46.9362","270","Header, 3-Pin"
"U6","AP2112K-3.3TRG1","TopLayer","SOT23-5","32.3396","22.1088","360","3.3V LDO Regulator"
"S2","Momentary Tactile Button","TopLayer","SW-PB_SMD_2pin","26.7925","14.4242","360","Button (SMD)"
"S1","Momentary Tactile Button","TopLayer","SW-PB_SMD_2pin","29.7992","65.2962","180","Button (SMD)"
"FB2","120R @ 100MHz 2A 0603","TopLayer","INDC1608N","6.5824","10.1168","90","Ferrite Bead (SMD)"
"FB1","120R @ 100MHz 2A 0603","TopLayer","INDC1608N","38.8492","53.8962","360","Ferrite Bead (SMD)"
"D15","Schottky 2A 40V SOD-123F","TopLayer","DIOM2616X08N","115.0992","28.8962","270","Diode (SMD)"
"C4","1uF 10% 50V X7R 0603","TopLayer","Cap_1608-0603","121.6655","37.0462","270","Capacitor (SMD Ceramic)"
"C39","4.7uF 10% 10V X7R 0603","TopLayer","Cap_1608-0603","35.1490","22.1088","90","Capacitor (SMD Ceramic)"
"C38","4.7uF 10% 10V X7R 0603","TopLayer","Cap_1608-0603","29.5283","22.1088","90","Capacitor (SMD Ceramic)"
