Altium Designer Pick and Place Locations
G:\Git\RUMBA32\Source\Project Outputs for RUMBA32\Pick Place for RUMBA32.csv

========================================================================================================================
File Design Information:

Date:       09/10/18
Time:       15:26
Revision:   7b6bfde1cea3d98df6028c323de5cffdec7a4622
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q6","SiSS10DN","TopLayer","PowerPAK_1218-8_Single","-0.4999","0.9999","270","N-CH MOSFET 40V 60A"
"L1","33uH 2.5A","TopLayer","SRN6045TA_SMD_Inductor","-22.1640","-3.9351","90","Inductor (SMD)"
"C36","4.7uF 10% 50V X7R 1210","TopLayer","CAP_3225-1210","-33.2855","-13.2109","270","Capacitor (SMD Ceramic)"
"R44","100K 5% .1W 0603","TopLayer","RES_1608-0603","-4.0584","30.4999","270","Resistor (SMD)"
"R45","10K 5% .1W 0603","TopLayer","RES_1608-0603","-4.0584","33.9999","90","Resistor (SMD)"
"C30","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","0.7152","31.8098","360","Capacitor (SMD Polarised Electrolytic)"
"E2_MS1","Header 3","TopLayer","HDR1X3-HEADER","3.1008","19.9361","270","Header, 3-Pin"
"E2_MS2","Header 3","TopLayer","HDR1X3-HEADER","0.5608","19.9361","270","Header, 3-Pin"
"E2_MS3","Header 3","TopLayer","HDR1X3-HEADER","-1.9792","19.9361","270","Header, 3-Pin"
"E2_SLP","Header 3","TopLayer","HDR1X3-HEADER","-4.5192","19.9361","270","Header, 3-Pin"
"R30","100K 5% .1W 0603","TopLayer","RES_1608-0603","-19.3167","30.4999","270","Resistor (SMD)"
"R29","10K 5% .1W 0603","TopLayer","RES_1608-0603","-19.3167","33.9999","90","Resistor (SMD)"
"C25","100uF 35V 6.3mm","TopLayer","CAP_EL_PANASONIC","-14.5431","31.8098","360","Capacitor (SMD Polarised Electrolytic)"
"E1_MS1","Header 3","TopLayer","HDR1X3-HEADER","-12.1575","19.9361","270","Header, 3-Pin"
"E1_MS2","Header 3","TopLayer","HDR1X3-HEADER","-14.6975","19.9361","270","Header, 3-Pin"
"E1_MS3","Header 3","TopLayer","HDR1X3-HEADER","-17.2375","19.9361","270","Header, 3-Pin"
"E1_SLP","Header 3","TopLayer","HDR1X3-HEADER","-19.7775","19.9361","270","Header, 3-Pin"
"R28","100K 5% .1W 0603","TopLayer","RES_1608-0603","-34.5750","30.4999","270","Resistor (SMD)"
