"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"USBVCC","USB_AUX-5","20.8mm","17.14mm","Bottom","0.9mm","Through hole"
"NetJ2_D-","USB_AUX-4","20.8mm","14.6mm","Bottom","0.9mm","Through hole"
"NetJ2_D+","USB_AUX-3","20.8mm","12.06mm","Bottom","0.9mm","Through hole"
"GND","USB_AUX-2","20.8mm","9.52mm","Bottom","0.9mm","Through hole"
"NetJ2_SHIELD","USB_AUX-1","20.8mm","6.98mm","Bottom","0.9mm","Through hole"
"GND","ISP1-6","46.1106mm","50.1662mm","Bottom","0.9mm","Through hole"
"RESET","ISP1-5","43.5706mm","50.1662mm","Bottom","0.9mm","Through hole"
"PB2_(MOSI)","ISP1-4","46.1106mm","52.7062mm","Bottom","0.9mm","Through hole"
"PB1_(SCK)","ISP1-3","43.5706mm","52.7062mm","Bottom","0.9mm","Through hole"
"+5V","ISP1-2","46.1106mm","55.2462mm","Bottom","0.9mm","Through hole"
"PB3_(MISO)","ISP1-1","43.5706mm","55.2462mm","Bottom","0.9mm","Through hole"
"VIN1","E2-16","138.4908mm","62.1762mm","Bottom","0.9mm","Through hole"
"5V_DCDC","E2-10","138.4908mm","46.9362mm","Bottom","0.9mm","Through hole"
"E2-STEP","E2-7","125.7908mm","46.9362mm","Bottom","0.9mm","Through hole"
"NetE2_5","E2-6","125.7908mm","49.4762mm","Bottom","0.9mm","Through hole"
"NetE2_5","E2-5","125.7908mm","52.0162mm","Bottom","0.9mm","Through hole"
"NetE2_4","E2-4","125.7908mm","54.5562mm","Bottom","0.9mm","Through hole"
"NetE2_3","E2-3","125.7908mm","57.0962mm","Bottom","0.9mm","Through hole"
"NetE2_2","E2-2","125.7908mm","59.6362mm","Bottom","0.9mm","Through hole"
"GND","E2-15","138.4908mm","59.6362mm","Bottom","0.9mm","Through hole"
"GND","E2-9","138.4908mm","44.3962mm","Bottom","0.9mm","Through hole"
"E2-EN","E2-1","125.7908mm","62.1762mm","Bottom","0.9mm","Through hole"
"E2-DIR","E2-8","125.7908mm","44.3962mm","Bottom","0.9mm","Through hole"
"NetE2_14","E2-14","138.4908mm","57.0962mm","Bottom","0.9mm","Through hole"
"NetE2_13","E2-13","138.4908mm","54.5562mm","Bottom","0.9mm","Through hole"
"NetE2_11","E2-11","138.4908mm","49.4762mm","Bottom","0.9mm","Through hole"
"NetE2_12","E2-12","138.4908mm","52.0162mm","Bottom","0.9mm","Through hole"
"NetZ_12","Z-12","92.7158mm","52.0162mm","Bottom","0.9mm","Through hole"
"NetZ_11","Z-11","92.7158mm","49.4762mm","Bottom","0.9mm","Through hole"
"NetZ_13","Z-13","92.7158mm","54.5562mm","Bottom","0.9mm","Through hole"
