"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D14","DO-214AC","61.5mm","13mm","61.5mm","13mm","59.4mm","13mm","T","360.00","100V; 1.5A"
"D13","DO-214AC","130.25mm","19.254mm","130.25mm","19.254mm","128.15mm","19.254mm","T","360.00","100V; 1.5A"
"D12","DO-214AC","45.5mm","13mm","45.5mm","13mm","43.4mm","13mm","T","360.00","100V; 1.5A"
"D11","DO-214AC","79mm","11.5mm","79mm","11.5mm","76.9mm","11.5mm","T","360.00","100V; 1.5A"
"D10","DO-214AC","70.25mm","11.5mm","70.25mm","11.5mm","68.15mm","11.5mm","T","360.00","100V; 1.5A"
"D9","DO-214AC","53.75mm","13mm","53.75mm","13mm","51.65mm","13mm","T","360.00","100V; 1.5A"
"FAN1","TERM2_3.5MM","78.848mm","6.2052mm","80.598mm","6.2052mm","80.598mm","6.2052mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"R55","RES_1608-0603","79.201mm","27.6428mm","79.201mm","27.6428mm","79.201mm","26.7928mm","T","90.00","Res-0603-1K"
"Q1","LFPACK","78.9216mm","19.9334mm","80.8266mm","22.7274mm","77.0166mm","22.7274mm","T","180.00","PSMN1R8-40YLC"
"LD7","LED_0805","80.979mm","27.6088mm","80.979mm","28.6589mm","80.979mm","28.6589mm","T","270.00","GREEN"
"Z_MOT_A","HDR1X4","86.8718mm","65.8952mm","90.6818mm","65.8952mm","90.6818mm","65.8952mm","T","180.00","Header 4"
"Y_MOT_A","HDR1X4","71.5302mm","65.8698mm","75.3402mm","65.8698mm","75.3402mm","65.8698mm","T","180.00","Header 4"
"X_MOT_A","HDR1X4","56.3156mm","65.8698mm","60.1256mm","65.8698mm","60.1256mm","65.8698mm","T","180.00","Header 4"
"R54","RES_1608-0603","7.5264mm","23.782mm","7.5264mm","23.782mm","6.6764mm","23.782mm","T","360.00","Res-0603-4K7"
"R53","RES_1608-0603","71.3523mm","27.6428mm","71.3523mm","27.6428mm","71.3523mm","26.7928mm","T","90.00","Res-0603-1K"
"R52","RES_1608-0603","69.7014mm","27.6428mm","69.7013mm","27.6428mm","69.7014mm","28.4928mm","T","270.00","Res-0603-100K"
"R51","RES_1608-0603","68.0504mm","27.6428mm","68.0504mm","27.6428mm","68.0504mm","28.4928mm","T","270.00","Res-0603-10R"
"R50","RES_1608-0603","62.3858mm","27.6428mm","62.3858mm","27.6428mm","62.3858mm","26.7928mm","T","90.00","Res-0603-1K"
"LD6","LED_0805","72.7782mm","27.6089mm","72.7782mm","28.6589mm","72.7782mm","28.6589mm","T","270.00","GREEN"
"LD5","LED_0805","63.9896mm","27.6089mm","63.9895mm","28.6589mm","63.9896mm","28.6589mm","T","270.00","GREEN"
"FAN0","TERM2_3.5MM","70.339mm","6.1544mm","72.089mm","6.1544mm","72.089mm","6.1544mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"HE2","TERM2_3.5MM","62.0078mm","6.1544mm","63.7578mm","6.1544mm","63.7578mm","6.1544mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"E2_MOT_A","HDR1X4","132.3378mm","65.819mm","136.1478mm","65.819mm","136.1478mm","65.819mm","T","180.00","Header 4"
"E1_MOT_A","HDR1X4","117.1232mm","65.8444mm","120.9332mm","65.8444mm","120.9332mm","65.8444mm","T","180.00","Header 4"
"E0_MOT_A","HDR1X4","101.8324mm","65.8698mm","105.6424mm","65.8698mm","105.6424mm","65.8698mm","T","180.00","Header 4"
"C9","Cap_1608-0603","7.5264mm","22.258mm","7.5264mm","22.258mm","6.6764mm","22.258mm","T","360.00","approved sub OK"
"HE1","TERM2_3.5MM","53.6258mm","6.129mm","55.3758mm","6.129mm","55.3758mm","6.129mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"R9","RES_1608-0603","24.9974mm","6.0274mm","24.9974mm","6.0274mm","24.1474mm","6.0274mm","T","360.00","Res-0603-1M"
"R2","RES_1608-0603","24.0576mm","23.909mm","24.0576mm","23.909mm","23.2076mm","23.909mm","T","360.00","Res-0603-10K"
"PWR","HDR1X2","39.3484mm","3.5128mm","39.3484mm","2.2428mm","39.3484mm","2.2428mm","T","90.00","Header 2"
"5V","HDR1X2","37.0624mm","21.6992mm","37.0624mm","20.4292mm","37.0624mm","20.4292mm","T","90.00","Header 2"
"PS_ON","HDR1X2","34.1668mm","64.422mm","32.8968mm","64.422mm","32.8968mm","64.422mm","T","360.00","Header 2"
"ISP2","HDR2X3","30.9664mm","21.6992mm","28.4264mm","20.4292mm","28.4264mm","20.4292mm","T","360.00","Header 3X2"
"ISP1","HDR2X3","40.4406mm","52.3062mm","39.1706mm","54.8462mm","39.1706mm","54.8462mm","T","270.00","Header 3X2"
"C29","Cap_1608-0603","7.5264mm","34.45mm","7.5264mm","34.45mm","6.6764mm","34.45mm","T","360.00","approved sub OK"
"Y","A4988BREAKOUT","71.0892mm","53.2862mm","64.7392mm","62.1762mm","64.7392mm","62.1762mm","T","270.00","A4988BREAKOUT"
"C1","CAP_EL_PANASONIC","105.7948mm","33.5237mm","105.7948mm","35.974mm","105.7948mm","31.1234mm","T","180.00","CapE-6.3-47uF-50V"
"C2","CAP_EL_PANASONIC","121.4412mm","24.8607mm","121.4412mm","22.4104mm","121.4412mm","27.261mm","T","360.00","CapE-6.3-100uF-16V"
"C3","CAP_1608-0603","110.189mm","30.6908mm","110.189mm","30.6908mm","110.189mm","29.8408mm","T","90.00","CapC-0603-100nF"
"C4","CAP_1608-0603","32.8206mm","39.6316mm","32.8206mm","39.6316mm","33.6706mm","39.6316mm","T","180.00","CapC-0603-100nF"
"C5","CAP_1608-0603","14.685mm","48.039mm","14.685mm","48.039mm","14.685mm","47.189mm","T","90.00","CapC-0603-100nF"
"C6","CAP_1608-0603","34.6494mm","46.0324mm","34.6494mm","46.0324mm","35.4994mm","46.0324mm","T","180.00","CapC-0603-100nF"
"C7","CAP_1608-0603","21.67mm","37.498mm","21.67mm","37.498mm","22.52mm","37.498mm","T","180.00","CapC-0603-100nF"
"C8","CAP_1608-0603","33.1254mm","61.0185mm","33.1254mm","61.0184mm","33.1254mm","61.8685mm","T","270.00","CapC-0603-22pF"
"C11","CAP_1608-0603","19.475mm","8.7784mm","19.475mm","8.7784mm","18.625mm","8.7784mm","T","360.00","CapC-0603-100nF"
"C12","CAP_1608-0603","19.4876mm","17.0083mm","19.4876mm","17.0083mm","20.3376mm","17.0083mm","T","180.00","approved sub OK"
"C13","CAP_1608-0603","28.456mm","7.526mm","28.456mm","7.526mm","27.606mm","7.526mm","T","360.00","CapC-0603-100nF"
"C14","CAP_1608-0603","21.4556mm","6.0162mm","21.4556mm","6.0163mm","20.6056mm","6.0162mm","T","360.00","CapC-0603-22pF"
"C15","CAP_1608-0603","28.4556mm","6.0162mm","28.4556mm","6.0163mm","29.3056mm","6.0162mm","T","180.00","CapC-0603-22pF"
"C16","CAP_1608-0603","35.5998mm","17.5457mm","35.5998mm","17.5456mm","36.4498mm","17.5457mm","T","180.00","CapC-0603-100nF"
"C18","CAP_1608-0603","116.4882mm","34.0436mm","116.4882mm","34.0436mm","116.4882mm","33.1936mm","T","90.00","CapC-0603-100nF"
"C19","CAP_1608-0603","28.699mm","63.7518mm","28.699mm","63.7518mm","29.549mm","63.7518mm","T","180.00","CapC-0603-22pF"
"C20","CAP_1608-0603","21.949mm","63.7518mm","21.949mm","63.7518mm","21.099mm","63.7518mm","T","360.00","CapC-0603-22pF"
"C21","CAP_EL_PANASONIC","57.3736mm","58.8843mm","57.3736mm","56.434mm","57.3736mm","61.2846mm","T","360.00","CapE-6.3-100uF-35V"
"C22","CAP_EL_PANASONIC","72.6654mm","58.8861mm","72.6654mm","56.4358mm","72.6654mm","61.2864mm","T","360.00","CapE-6.3-100uF-35V"
"C23","CAP_EL_PANASONIC","87.9562mm","58.8607mm","87.9562mm","56.4104mm","87.9562mm","61.261mm","T","360.00","CapE-6.3-100uF-35V"
"C24","CAP_EL_PANASONIC","102.9676mm","58.7845mm","102.9676mm","56.3342mm","102.9676mm","61.1848mm","T","360.00","CapE-6.3-100uF-35V"
"C25","CAP_EL_PANASONIC","118.2076mm","58.7591mm","118.2076mm","56.3088mm","118.2076mm","61.1594mm","T","360.00","CapE-6.3-100uF-35V"
"C26","Cap_1608-0603","7.5264mm","25.306mm","7.5264mm","25.306mm","6.6764mm","25.306mm","T","360.00","approved sub OK"
"C27","Cap_1608-0603","7.5264mm","28.354mm","7.5264mm","28.354mm","6.6764mm","28.354mm","T","360.00","approved sub OK"
"C28","Cap_1608-0603","7.5264mm","31.402mm","7.5264mm","31.402mm","6.6764mm","31.402mm","T","360.00","approved sub OK"
"D1","1N4007_SMD","105.998mm","26.6776mm","102.3912mm","28.5572mm","103.798mm","26.6776mm","T","270.00","M4"
"D2","1N4148_SMD","35.3242mm","58.8421mm","35.3242mm","58.842mm","35.3242mm","60.467mm","T","90.00",""
"D3","1N4148_SMD","24.0576mm","20.5054mm","24.0576mm","20.5054mm","22.4326mm","20.5054mm","T","180.00",""
"D4","1N4148_SMD","119.587mm","30.6654mm","119.587mm","30.6654mm","121.212mm","30.6654mm","T","360.00",""
"D5","MBRM140","113.2553mm","29.8143mm","114.4308mm","29.8018mm","112.0798mm","29.8268mm","T","180.00","Diode MBRM140"
"HB-OUT","TERM2_5MM","127.1162mm","6.0782mm","124.6162mm","6.0782mm","124.6162mm","6.0782mm","T","360.00","Screw Terminal 5mm 2-Way"
"HE0","TERM2_3.5MM","45.2438mm","6.2052mm","46.9938mm","6.2052mm","46.9938mm","6.2052mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"E0_MOT","TERM4_3.5MM","101.893mm","71.2948mm","96.643mm","71.2948mm","96.643mm","71.2948mm","T","360.00","ScrewTerminal-3.5mm-4Way"
"E0_MS","DIPSW_SO6","99.418mm","50.394mm","98.148mm","46.584mm","98.148mm","46.584mm","T","90.00","SW DIP-3"
"E0","A4988BREAKOUT","101.5608mm","53.2862mm","95.2108mm","62.1762mm","95.2108mm","62.1762mm","T","270.00","A4988BREAKOUT"
"E1_MOT","TERM4_3.5MM","117.143mm","71.2948mm","111.893mm","71.2948mm","111.893mm","71.2948mm","T","360.00","ScrewTerminal-3.5mm-4Way"
"E1_MS","DIPSW_SO6","114.658mm","50.394mm","113.388mm","46.584mm","113.388mm","46.584mm","T","90.00","SW DIP-3"
"E1","A4988BREAKOUT","116.8008mm","53.2862mm","110.4508mm","62.1762mm","110.4508mm","62.1762mm","T","270.00","A4988BREAKOUT"
"IC1","TQFP100N","24.31mm","47.817mm","24.31mm","47.817mm","31.86mm","41.817mm","T","180.00","ATMEGA2560"
"IC2","TQFP32N","27.2482mm","13.8237mm","27.2482mm","13.8236mm","24.4482mm","9.5737mm","T","90.00","ATMEGA16U2-AU"
"IC4","SOT23-6N","113.4402mm","34.0311mm","113.4402mm","34.0436mm","114.3902mm","35.2186mm","T","270.00","AOZ1282CI"
"L1","RES_2012-0805","16.8694mm","20.5054mm","16.8694mm","20.5054mm","15.9194mm","20.5054mm","T","360.00","Ferrite Bead SMD 0805"
"L3","SRN6045TA_SMD_Inductor","114.2mm","24.2mm","114.2mm","24.2mm","112.125mm","24.2mm","T","90.00","Inductor SMD 33uH 2.5A"
"EXP1","HDR2X5_EXP_INER_ONLY\","21.4508mm","71.174mm","30.5346mm","74.746mm","26.5308mm","72.444mm","T","180.00","Header 5X2"
"LED1","LED_0805","25.133mm","65.8444mm","26.1831mm","65.8444mm","26.1831mm","65.8444mm","T","180.00","YELLOW"
"LD2","LED_0805","130.5598mm","36.2956mm","130.5598mm","37.3456mm","130.5598mm","37.3456mm","T","270.00","GREEN"
"LD3","LED_0805","47.7558mm","27.6088mm","47.7558mm","28.6588mm","47.7558mm","28.6589mm","T","270.00","GREEN"
"LD4","LED_0805","55.6581mm","27.6088mm","55.6581mm","28.6588mm","55.6581mm","28.6589mm","T","270.00","GREEN"
"Power","LED_0805","1.7056mm","3.3442mm","1.7056mm","4.3942mm","1.7056mm","4.3942mm","T","270.00","GREEN"
"Q2","LFPACK","132.922mm","29.1414mm","134.827mm","31.9354mm","131.017mm","31.9354mm","T","180.00","PSMN1R8-40YLC"
"Q3","LFPACK","45.2692mm","19.9334mm","47.1742mm","22.7274mm","43.3642mm","22.7274mm","T","180.00","PSMN1R8-40YLC"
"Q4","LFPACK","53.674mm","19.8704mm","55.579mm","22.6644mm","51.769mm","22.6644mm","T","180.00","PSMN1R8-40YLC"
"R1","RES_1608-0603","25.328mm","63.782mm","25.328mm","63.782mm","24.478mm","63.782mm","T","360.00","Res-0603-1M"
"R3","RES_1608-0603","20.654mm","23.909mm","20.654mm","23.909mm","21.504mm","23.909mm","T","180.00","Res-0603-10K"
"R4","RES_1608-0603","3.636mm","3.081mm","3.636mm","3.081mm","3.636mm","3.9311mm","T","270.00","Res-0603-1K"
"R5","RES_1608-0603","118.7234mm","34.0436mm","118.7234mm","34.0436mm","118.7234mm","34.8936mm","T","270.00","Res-0603-53.6K"
"R6","RES_1608-0603","110.2398mm","34.2468mm","110.2398mm","34.2468mm","110.2398mm","33.3968mm","T","90.00","Res-0603-10K"
"R7","RES_1608-0603","19.4982mm","12.3236mm","19.4982mm","12.3236mm","20.3482mm","12.3236mm","T","180.00","Res-0603-22R"
"R8","RES_1608-0603","19.4982mm","13.9466mm","19.4982mm","13.9466mm","20.3482mm","13.9466mm","T","180.00","Res-0603-22R"
"R11","RES_1608-0603","33.1318mm","57.729mm","33.1318mm","57.729mm","33.1318mm","58.5791mm","T","270.00","Res-0603-10K"
"R12","RES_1608-0603","20.5016mm","20.7848mm","20.5016mm","20.7848mm","20.5016mm","19.9348mm","T","90.00","Res-0603-10K"
"R13","RES_1608-0603","29.3327mm","65.692mm","29.3327mm","65.692mm","28.4826mm","65.692mm","T","360.00","Res-0603-1K"
"R14","RES_1608-0603","35.5892mm","15.8573mm","35.5892mm","15.8573mm","34.7392mm","15.8573mm","T","360.00","Res-0603-1K"
"R15","RES_1608-0603","35.5836mm","8.5308mm","35.5836mm","8.5309mm","34.7336mm","8.5308mm","T","360.00","Res-0603-1K"
"R16","RES_1608-0603","35.5836mm","10.0309mm","35.5836mm","10.0308mm","34.7336mm","10.0309mm","T","360.00","Res-0603-1K"
"R17","RES_1608-0603","35.5836mm","5.5309mm","35.5836mm","5.5309mm","34.7336mm","5.5309mm","T","360.00","Res-0603-1K"
"R18","RES_1608-0603","35.5836mm","7.0308mm","35.5836mm","7.0309mm","34.7336mm","7.0308mm","T","360.00","Res-0603-1K"
"R21","RES_1608-0603","57.7556mm","46.7076mm","57.7556mm","46.7076mm","56.9056mm","46.7076mm","T","360.00","Res-0603-10K"
"R22","RES_1608-0603","57.273mm","50.3144mm","57.273mm","50.3144mm","57.273mm","51.1644mm","T","270.00","Res-0603-100K"
"R23","RES_1608-0603","73.021mm","46.7076mm","73.021mm","46.7076mm","72.171mm","46.7076mm","T","360.00","Res-0603-10K"
"R24","RES_1608-0603","72.6146mm","50.2382mm","72.6146mm","50.2382mm","72.6146mm","51.0882mm","T","270.00","Res-0603-100K"
"R25","RES_1608-0603","88.0578mm","46.606mm","88.0578mm","46.606mm","87.2078mm","46.606mm","T","360.00","Res-0603-10K"
"R26","RES_1608-0603","87.7784mm","50.2382mm","87.7784mm","50.2382mm","87.7784mm","51.0882mm","T","270.00","Res-0603-100K"
"R27","RES_1608-0603","103.2724mm","46.5806mm","103.2724mm","46.5806mm","102.4224mm","46.5806mm","T","360.00","Res-0603-10K"
"R28","RES_1608-0603","102.993mm","50.2382mm","102.993mm","50.2382mm","102.993mm","51.0882mm","T","270.00","Res-0603-100K"
"R29","RES_1608-0603","118.4616mm","46.6314mm","118.4616mm","46.6314mm","117.6116mm","46.6314mm","T","360.00","Res-0603-10K"
"R30","RES_1608-0603","118.2206mm","50.2624mm","118.2206mm","50.2624mm","118.2206mm","51.1124mm","T","270.00","Res-0603-100K"
"R31","RES_1608-0603","125.4036mm","36.2422mm","125.4036mm","36.2421mm","125.4036mm","37.0922mm","T","270.00","Res-0603-10R"
"R33","RES_1608-0603","128.7564mm","36.2535mm","128.7564mm","36.2534mm","128.7564mm","35.4034mm","T","90.00","Res-0603-1K"
"R34","RES_1608-0603","42.7512mm","27.6428mm","42.7512mm","27.6428mm","42.7512mm","28.4929mm","T","270.00","Res-0603-10R"
"R35","RES_1608-0603","44.4022mm","27.6428mm","44.4022mm","27.6428mm","44.4022mm","28.4929mm","T","270.00","Res-0603-100K"
"R36","RES_1608-0603","46.0531mm","27.6428mm","46.0531mm","27.6428mm","46.0531mm","26.7929mm","T","90.00","Res-0603-1K"
"R37","RES_1608-0603","50.7271mm","27.6428mm","50.7271mm","27.6428mm","50.7271mm","28.4928mm","T","270.00","Res-0603-10R"
"R38","RES_1608-0603","52.378mm","27.6428mm","52.378mm","27.6428mm","52.378mm","28.4929mm","T","270.00","Res-0603-100K"
"R39","RES_1608-0603","54.029mm","27.6428mm","54.029mm","27.6428mm","54.029mm","26.7928mm","T","90.00","Res-0603-1K"
"R40","RES_1608-0603","7.5264mm","26.83mm","7.5264mm","26.83mm","6.6764mm","26.83mm","T","360.00","Res-0603-4K7"
"R41","RES_1608-0603","7.5264mm","29.878mm","7.5264mm","29.878mm","6.6764mm","29.878mm","T","360.00","Res-0603-4K7"
"R42","RES_1608-0603","7.5264mm","32.926mm","7.5264mm","32.926mm","6.6764mm","32.926mm","T","360.00","Res-0603-4K7"
"RX","LED_0805","35.5392mm","11.8572mm","36.5892mm","11.8573mm","36.5892mm","11.8572mm","T","180.00","YELLOW"
"Thermistors","HDR2X5","2.802mm","29.116mm","1.532mm","34.196mm","1.532mm","34.196mm","T","270.00","Header 5X2"
"TX","LED_0805","35.5392mm","13.9656mm","36.5892mm","13.9656mm","36.5892mm","13.9656mm","T","180.00","YELLOW"
"Z+","HDR1X3","4.0716mm","52.738mm","6.6116mm","52.738mm","6.6116mm","52.738mm","T","180.00","Header 3"
"Z-","HDR1X3","4.0716mm","55.278mm","6.6116mm","55.278mm","6.6116mm","55.278mm","T","180.00","Header 3"
"X_MOT","TERM4_3.5MM","56.3308mm","71.244mm","51.0808mm","71.244mm","51.0808mm","71.244mm","T","360.00","ScrewTerminal-3.5mm-4Way"
"X_MS","DIPSW_SO6","53.706mm","50.394mm","52.436mm","46.584mm","52.436mm","46.584mm","T","90.00","SW DIP-3"
"X","A4988BREAKOUT","55.8492mm","53.2862mm","49.4992mm","62.1762mm","49.4992mm","62.1762mm","T","270.00","A4988BREAKOUT"
"Y1","X-TAL","25.4296mm","60.4038mm","27.7156mm","60.4038mm","23.1436mm","60.4038mm","T","180.00","16MHz"
"Y2","X-TAL","24.9466mm","2.7254mm","27.2326mm","2.7254mm","22.6606mm","2.7254mm","T","180.00","16MHz"
"Y+","HDR1X3","4.0716mm","57.818mm","6.6116mm","57.818mm","6.6116mm","57.818mm","T","180.00","Header 3"
"Y-","HDR1X3","4.0716mm","60.358mm","6.6116mm","60.358mm","6.6116mm","60.358mm","T","180.00","Header 3"
"Y_MOT","TERM4_3.5MM","71.5808mm","71.244mm","66.3308mm","71.244mm","66.3308mm","71.244mm","T","360.00","ScrewTerminal-3.5mm-4Way"
"Y_MS","DIPSW_SO6","68.946mm","50.394mm","67.676mm","46.584mm","67.676mm","46.584mm","T","90.00","SW DIP-3"
"Z1","RES_1608-0603","19.4982mm","10.6966mm","19.4982mm","10.6966mm","20.3482mm","10.6966mm","T","180.00","VARISTOR"
"Z2","RES_1608-0603","19.4876mm","15.5082mm","19.4876mm","15.5083mm","20.3376mm","15.5082mm","T","180.00","VARISTOR"
"X+","HDR1X3","4.0716mm","62.898mm","6.6116mm","62.898mm","6.6116mm","62.898mm","T","180.00","Header 3"
"X-","HDR1X3","4.0716mm","65.438mm","6.6116mm","65.438mm","6.6116mm","65.438mm","T","180.00","Header 3"
"Z_MOT","TERM4_3.5MM","86.8308mm","71.244mm","81.5808mm","71.244mm","81.5808mm","71.244mm","T","360.00","ScrewTerminal-3.5mm-4Way"
"Z_MS","DIPSW_SO6","84.186mm","50.394mm","82.916mm","46.584mm","82.916mm","46.584mm","T","90.00","SW DIP-3"
"Z","A4988BREAKOUT","86.3292mm","53.2862mm","79.9792mm","62.1762mm","79.9792mm","62.1762mm","T","270.00","A4988BREAKOUT"
"R43","RES_1608-0603","7.5264mm","35.974mm","7.5264mm","35.974mm","6.6764mm","35.974mm","T","360.00","Res-0603-4K7"
"EXP2","HDR2X5_EXP_INER_ONLY\","39.6626mm","71.174mm","48.7464mm","74.746mm","44.7426mm","72.444mm","T","180.00","Header 5X2"
"R32","RES_1608-0603","127.1562mm","36.2422mm","127.1562mm","36.2421mm","127.1562mm","37.0922mm","T","270.00","Res-0603-100K"
"E2_MOT","TERM4_3.5MM","132.393mm","71.2948mm","127.143mm","71.2948mm","127.143mm","71.2948mm","T","360.00","ScrewTerminal-3.5mm-4Way"
"E2_MS","DIPSW_SO6","129.898mm","50.3936mm","128.628mm","46.5836mm","128.628mm","46.5836mm","T","90.00","SW DIP-3"
"E2","A4988BREAKOUT","132.0408mm","53.2862mm","125.6908mm","62.1762mm","125.6908mm","62.1762mm","T","270.00","A4988BREAKOUT"
"C30","CAP_EL_PANASONIC","133.4222mm","58.8099mm","133.4222mm","56.3596mm","133.4222mm","61.2102mm","T","360.00","CapE-6.3-100uF-35V"
"R44","RES_1608-0603","133.4466mm","50.1822mm","133.4466mm","50.1822mm","133.4466mm","51.0322mm","T","270.00","Res-0603-100K"
"R45","RES_1608-0603","133.6518mm","46.585mm","133.6518mm","46.585mm","132.8018mm","46.585mm","T","360.00","Res-0603-10K"
"Q6","LFPACK","70.3371mm","19.9334mm","72.2421mm","22.7274mm","68.4321mm","22.7274mm","T","180.00","PSMN1R8-40YLC"
"Q5","LFPACK","61.8541mm","19.9334mm","63.7591mm","22.7274mm","59.9491mm","22.7274mm","T","180.00","PSMN1R8-40YLC"
"R46","RES_1608-0603","76.2292mm","27.6428mm","76.2292mm","27.6428mm","76.2292mm","28.4928mm","T","270.00","Res-0603-10R"
"R47","RES_1608-0603","77.7024mm","27.6428mm","77.7024mm","27.6428mm","77.7024mm","28.4928mm","T","270.00","Res-0603-100K"
"R48","RES_1608-0603","59.084mm","27.6428mm","59.084mm","27.6428mm","59.084mm","28.4928mm","T","270.00","Res-0603-10R"
"R49","RES_1608-0603","60.7349mm","27.6428mm","60.7349mm","27.6428mm","60.7349mm","28.4928mm","T","270.00","Res-0603-100K"
"D6","1N4007_SMD","105.9218mm","22.3596mm","109.5286mm","20.48mm","108.1218mm","22.3596mm","T","90.00","M4"
